# Sweep Manifest - 500 expected runs (2 boundaries Ã— 5 modes Ã— 50 seeds)
# Format: boundary,mode,seed,status,path

wrap,object_off_tracked,25,OK,outputs_sweep50\object_off_tracked_wrap_seed25\metrics.csv
wrap,passive_nopersist,25,OK,outputs_sweep50\passive_nopersist_wrap_seed25\metrics.csv
wrap,passive_persist,25,OK,outputs_sweep50\passive_persist_wrap_seed25\metrics.csv
wrap,active_persist,25,OK,outputs_sweep50\active_persist_wrap_seed25\metrics.csv
wrap,active_random,25,OK,outputs_sweep50\active_random_wrap_seed25\metrics.csv
zero,object_off_tracked,26,OK,outputs_sweep50\object_off_tracked_zero_seed26\metrics.csv
zero,passive_nopersist,26,OK,outputs_sweep50\passive_nopersist_zero_seed26\metrics.csv
zero,passive_persist,26,OK,outputs_sweep50\passive_persist_zero_seed26\metrics.csv
zero,active_persist,26,OK,outputs_sweep50\active_persist_zero_seed26\metrics.csv
zero,active_random,26,OK,outputs_sweep50\active_random_zero_seed26\metrics.csv
wrap,object_off_tracked,26,OK,outputs_sweep50\object_off_tracked_wrap_seed26\metrics.csv
wrap,passive_nopersist,26,OK,outputs_sweep50\passive_nopersist_wrap_seed26\metrics.csv
wrap,passive_persist,26,OK,outputs_sweep50\passive_persist_wrap_seed26\metrics.csv
wrap,active_persist,26,OK,outputs_sweep50\active_persist_wrap_seed26\metrics.csv
wrap,active_random,26,OK,outputs_sweep50\active_random_wrap_seed26\metrics.csv
zero,object_off_tracked,27,OK,outputs_sweep50\object_off_tracked_zero_seed27\metrics.csv
zero,passive_nopersist,27,OK,outputs_sweep50\passive_nopersist_zero_seed27\metrics.csv
zero,passive_persist,27,OK,outputs_sweep50\passive_persist_zero_seed27\metrics.csv
zero,active_persist,27,OK,outputs_sweep50\active_persist_zero_seed27\metrics.csv
zero,active_random,27,OK,outputs_sweep50\active_random_zero_seed27\metrics.csv
wrap,object_off_tracked,27,OK,outputs_sweep50\object_off_tracked_wrap_seed27\metrics.csv
wrap,passive_nopersist,27,OK,outputs_sweep50\passive_nopersist_wrap_seed27\metrics.csv
wrap,passive_persist,27,OK,outputs_sweep50\passive_persist_wrap_seed27\metrics.csv
wrap,active_persist,27,OK,outputs_sweep50\active_persist_wrap_seed27\metrics.csv
wrap,active_random,27,OK,outputs_sweep50\active_random_wrap_seed27\metrics.csv
zero,object_off_tracked,28,OK,outputs_sweep50\object_off_tracked_zero_seed28\metrics.csv
zero,passive_nopersist,28,OK,outputs_sweep50\passive_nopersist_zero_seed28\metrics.csv
zero,passive_persist,28,OK,outputs_sweep50\passive_persist_zero_seed28\metrics.csv
zero,active_persist,28,OK,outputs_sweep50\active_persist_zero_seed28\metrics.csv
zero,active_random,28,OK,outputs_sweep50\active_random_zero_seed28\metrics.csv
wrap,object_off_tracked,28,OK,outputs_sweep50\object_off_tracked_wrap_seed28\metrics.csv
wrap,passive_nopersist,28,OK,outputs_sweep50\passive_nopersist_wrap_seed28\metrics.csv
wrap,passive_persist,28,OK,outputs_sweep50\passive_persist_wrap_seed28\metrics.csv
wrap,active_persist,28,OK,outputs_sweep50\active_persist_wrap_seed28\metrics.csv
wrap,active_random,28,OK,outputs_sweep50\active_random_wrap_seed28\metrics.csv
zero,object_off_tracked,29,OK,outputs_sweep50\object_off_tracked_zero_seed29\metrics.csv
zero,passive_nopersist,29,OK,outputs_sweep50\passive_nopersist_zero_seed29\metrics.csv
zero,passive_persist,29,OK,outputs_sweep50\passive_persist_zero_seed29\metrics.csv
zero,active_persist,29,OK,outputs_sweep50\active_persist_zero_seed29\metrics.csv
zero,active_random,29,OK,outputs_sweep50\active_random_zero_seed29\metrics.csv
wrap,object_off_tracked,29,OK,outputs_sweep50\object_off_tracked_wrap_seed29\metrics.csv
wrap,passive_nopersist,29,OK,outputs_sweep50\passive_nopersist_wrap_seed29\metrics.csv
wrap,passive_persist,29,OK,outputs_sweep50\passive_persist_wrap_seed29\metrics.csv
wrap,active_persist,29,OK,outputs_sweep50\active_persist_wrap_seed29\metrics.csv
wrap,active_random,29,OK,outputs_sweep50\active_random_wrap_seed29\metrics.csv
zero,object_off_tracked,30,OK,outputs_sweep50\object_off_tracked_zero_seed30\metrics.csv
zero,passive_nopersist,30,OK,outputs_sweep50\passive_nopersist_zero_seed30\metrics.csv
zero,passive_persist,30,OK,outputs_sweep50\passive_persist_zero_seed30\metrics.csv
zero,active_persist,30,OK,outputs_sweep50\active_persist_zero_seed30\metrics.csv
zero,active_random,30,OK,outputs_sweep50\active_random_zero_seed30\metrics.csv
wrap,object_off_tracked,30,OK,outputs_sweep50\object_off_tracked_wrap_seed30\metrics.csv
