tag,boundary_mode,observer_mode,mode,seed,final_identity_score,mean_identity_score,final_core_size_delta,mean_recovery_150_250,mean_observer_action_rate
active_persist_zero_seed12,zero,active_persist,active_persist,12,0.7411167512690355,0.6875789743893665,-303.0,11.49,0.049671292914536154
active_random_zero_seed12,zero,active_random,active_random,12,0.0,0.0010099238594298988,-2.0,7.82,0.049671292914536154
object_off_tracked_wrap_seed12,wrap,object_off_tracked,object_off_tracked,12,0.7314211212516297,0.6058535687544094,-1281.0,-710.48,0.0
passive_nopersist_wrap_seed12,wrap,passive_nopersist,passive_nopersist,12,0.0,0.0005818284071185575,1.0,16.21,0.0
passive_persist_wrap_seed12,wrap,passive_persist,passive_persist,12,0.6631578947368421,0.6590043640341673,60.0,-191.88,0.0
active_persist_wrap_seed12,wrap,active_persist,active_persist,12,0.5945945945945946,0.6884287624614427,-415.0,-229.28,0.049671292914536154
active_random_wrap_seed12,wrap,active_random,active_random,12,0.0,0.0011388273855392802,-62.0,-58.32,0.049671292914536154
object_off_tracked_zero_seed13,zero,object_off_tracked,object_off_tracked,13,0.2386411889596603,0.6424292931926003,1936.0,1886.66,0.0
passive_nopersist_zero_seed13,zero,passive_nopersist,passive_nopersist,13,0.0,0.0008018718735440958,2.0,12.42,0.0
passive_persist_zero_seed13,zero,passive_persist,passive_persist,13,1.0,0.6928744601007332,-78.0,31.68,0.0
active_persist_zero_seed13,zero,active_persist,active_persist,13,0.9578947368421052,0.7109166924457037,-250.0,31.52,0.049671292914536154
active_random_zero_seed13,zero,active_random,active_random,13,0.0,0.0005389491395229893,1.0,9.99,0.049671292914536154
object_off_tracked_wrap_seed13,wrap,object_off_tracked,object_off_tracked,13,0.8136439267886856,0.6292682495225733,-117.0,1423.84,0.0
passive_nopersist_wrap_seed13,wrap,passive_nopersist,passive_nopersist,13,0.0,7.054673721340387e-05,2.0,0.3,0.0
passive_persist_wrap_seed13,wrap,passive_persist,passive_persist,13,0.7410714285714286,0.6837515592089067,190.0,179.47,0.0
active_persist_wrap_seed13,wrap,active_persist,active_persist,13,0.45901639344262296,0.717340054317234,75.0,97.01,0.049671292914536154
active_random_wrap_seed13,wrap,active_random,active_random,13,0.0,0.0007030309518072865,2.0,7.45,0.049671292914536154
object_off_tracked_zero_seed14,zero,object_off_tracked,object_off_tracked,14,0.9983193277310924,0.6398299240706367,536.0,1741.55,0.0
passive_nopersist_zero_seed14,zero,passive_nopersist,passive_nopersist,14,0.0,0.0004532167233996635,0.0,11.61,0.0
passive_persist_zero_seed14,zero,passive_persist,passive_persist,14,1.0,0.6813239772801871,-188.0,11.68,0.0
active_persist_zero_seed14,zero,active_persist,active_persist,14,0.6861702127659575,0.7072718113386329,-144.0,63.29,0.049671292914536154
active_random_zero_seed14,zero,active_random,active_random,14,0.0,0.00036651905521348276,0.0,7.21,0.049671292914536154
object_off_tracked_wrap_seed14,wrap,object_off_tracked,object_off_tracked,14,0.35915644501829136,0.6077986642189385,1984.0,-517.75,0.0
passive_nopersist_wrap_seed14,wrap,passive_nopersist,passive_nopersist,14,0.0,0.00018477510472998578,2.0,22.59,0.0
passive_persist_wrap_seed14,wrap,passive_persist,passive_persist,14,0.6726190476190477,0.6582431467200132,39.0,177.57,0.0
active_persist_wrap_seed14,wrap,active_persist,active_persist,14,0.53125,0.6709249205748342,-210.0,-229.41,0.049671292914536154
active_random_wrap_seed14,wrap,active_random,active_random,14,0.0,0.00010899001371021523,-3.0,12.85,0.049671292914536154
